Timestamp, pos_x, pos_y, pos_z, cam_qx, cam_qy, cam_qz, cam_qw, ss_qx, ss_qy, ss_qz, ss_qw, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_qw, mag_qx, mag_qy, stillness
525, -0.21501, -0.327619, 1.028503, 0.02427478, -0.004597119, -0.02969192, 0.9992537, -0.0002384447, -4.626589E-05, -5.126931E-05, 0.9999999, -0.01702309, -0.006997867, -0.01519788, -0.1046719, 1.005056, 0.0121027, 0.000173639, -0.3030182, 0.317306, 0.9977422
532, -0.2150137, -0.3276064, 1.028494, 0.02425124, -0.004588555, -0.02964956, 0.9992557, -0.0002152761, -8.532428E-05, -5.187374E-05, 0.9999999, -0.03168342, -0.006997867, -0.002980933, -0.1053979, 1.012682, 0.01494007, -0.002566411, -0.3000502, 0.314584, 0.9669543
541, -0.2150212, -0.3276117, 1.028503, 0.02428107, -0.004596114, -0.02967712, 0.999254, -0.0002410572, -0.0001118011, -6.475113E-05, 0.9999999, -0.02190987, -0.005776173, -0.01153279, -0.1041733, 1.008999, 0.01524197, -0.004435733, -0.3056968, 0.3173185, 0.9820929
549, -0.215017, -0.3276148, 1.028491, 0.02429061, -0.004609132, -0.02964617, 0.9992547, -0.0002410572, -0.0001118011, -6.475113E-05, 0.9999999, -0.02190987, -0.005776173, -0.01153279, -0.1041733, 1.008999, 0.01524197, -0.004435733, -0.3056968, 0.3173185, 0.9820929
558, -0.2150123, -0.3276149, 1.028504, 0.02425359, -0.004585495, -0.02969059, 0.9992543, -0.0002632639, -9.113457E-05, -7.67493E-05, 0.9999999, -0.03901359, -0.004554478, -0.01153279, -0.110832, 1.008345, 0.0115486, -0.001683237, -0.3010374, 0.3173102, 0.9820657
566, -0.2150069, -0.3276057, 1.028508, 0.02427603, -0.004603379, -0.02967544, 0.9992542, -0.0003099551, -8.991023E-05, -8.277054E-05, 0.9999999, -0.02435326, -0.01310634, -0.01153279, -0.1078739, 1.009069, 0.01498611, -0.005386, -0.2961231, 0.3164091, 0.9802843
574, -0.2149969, -0.3276037, 1.028509, 0.02427764, -0.004593616, -0.02970199, 0.9992534, -0.000305691, -0.0001135314, -8.463964E-05, 1, -0.02557495, -0.01921481, -0.006646017, -0.1034266, 1.009663, 0.01154777, -0.004404096, -0.2990243, 0.3136791, 0.97995
582, -0.2149903, -0.3276144, 1.028508, 0.0242353, -0.004580857, -0.02967322, 0.9992554, -0.0003259964, -0.0001364632, -8.866069E-05, 0.9999999, -0.0353485, 0.003997383, -0.01641957, -0.1061413, 1.009724, 0.01203175, 0.001124048, -0.3021031, 0.3154845, 0.9785648
591, -0.214988, -0.3276221, 1.028507, 0.02428542, -0.004597213, -0.02969808, 0.9992533, -0.0003259964, -0.0001364632, -8.866069E-05, 0.9999999, -0.02313156, -0.01188464, -0.004202627, -0.1049099, 1.009976, 0.01424301, -0.003574389, -0.2981007, 0.3191331, 0.9779606
599, -0.2149923, -0.3276108, 1.028515, 0.0242881, -0.004602217, -0.02970201, 0.9992531, -0.0003606395, -0.0001289151, -0.0001162863, 0.9999999, -0.02313156, -0.01188464, -0.004202627, -0.1049099, 1.009976, 0.01424301, -0.003574389, -0.2981007, 0.3191331, 0.9779606
608, -0.2150021, -0.3276108, 1.028505, 0.02431253, -0.004579762, -0.02967673, 0.9992533, -0.0003174841, -0.0001283593, -8.916529E-05, 0.9999998, -0.03290512, -0.008219562, -0.01764126, -0.1086117, 1.009557, 0.01399419, -0.002589703, -0.2981415, 0.315493, 0.9780827
615, -0.2150092, -0.3276213, 1.028516, 0.02426543, -0.004576538, -0.02969334, 0.9992541, -0.0002883975, -0.0001235146, -6.597553E-05, 0.9999999, -0.03168342, -0.005776173, -0.01275449, -0.1049166, 1.008798, 0.01720915, -0.00157352, -0.3019986, 0.3109444, 0.982461
624, -0.2150098, -0.3276169, 1.028504, 0.02427517, -0.004574329, -0.02969025, 0.9992539, -0.000274983, -9.018241E-05, -4.913227E-05, 0.9999999, -0.03412681, -0.01310634, -0.01397618, -0.1083617, 1.009014, 0.01056196, -0.005392884, -0.2980297, 0.317319, 0.9805146
632, -0.2150104, -0.3276122, 1.028517, 0.0242558, -0.004576189, -0.02970093, 0.999254, -0.0003003441, -0.0001077221, -0.0001099578, 1, -0.02924003, 0.002775689, -0.01153279, -0.1041662, 1.011426, 0.01422392, -0.005343519, -0.2989866, 0.3145909, 0.972499
641, -0.2150019, -0.3276069, 1.028503, 0.02426081, -0.004584919, -0.02967517, 0.9992547, -0.0003003441, -0.0001077221, -0.0001099578, 1, -0.02924003, 0.002775689, -0.01153279, -0.1056524, 1.009014, 0.01425506, -0.003483862, -0.298107, 0.3136765, 0.9814788
649, -0.2150113, -0.3276172, 1.028517, 0.02427596, -0.004580066, -0.02970306, 0.9992535, -0.0003388058, -7.218902E-05, -8.860993E-05, 0.9999999, -0.03779189, -0.0008893944, -0.004202627, -0.1056524, 1.009014, 0.01425506, -0.003483862, -0.298107, 0.3136765, 0.9814788
657, -0.2150194, -0.3276193, 1.028516, 0.0242849, -0.004585814, -0.0296721, 0.9992542, -0.0003023732, -8.427165E-05, -0.0001018621, 0.9999999, -0.01946648, -0.01432803, -0.007867711, -0.1093482, 1.010283, 0.01250734, -0.003475659, -0.3000146, 0.313677, 0.974958
665, -0.2150276, -0.3276134, 1.028512, 0.02430578, -0.004579967, -0.02967258, 0.9992536, -0.0002322379, -0.0001232947, -7.178518E-05, 0.9999999, -0.03168342, -0.009441256, -0.01275449, -0.1041727, 1.010747, 0.01792015, -0.0007328284, -0.3001223, 0.3154888, 0.9749637
674, -0.2150245, -0.327623, 1.028515, 0.02425567, -0.004578869, -0.02967061, 0.9992549, -0.0001804209, -0.0001275166, -3.644777E-05, 0.9999999, -0.03412681, -0.0008893944, -0.004202627, -0.107883, 1.004409, 0.01357874, -0.004376702, -0.3018868, 0.3127704, 0.9988914
682, -0.2150065, -0.3276275, 1.028514, 0.02428118, -0.004585064, -0.02970129, 0.9992535, -0.0001512032, -0.0001014327, -9.829295E-06, 0.9999999, -0.02435326, -0.003332783, -0.0103111, -0.1066272, 1.012657, 0.01149673, -0.004415082, -0.299977, 0.3145888, 0.9667216
691, -0.2149852, -0.3276149, 1.028513, 0.02425994, -0.004594579, -0.02969508, 0.999254, -0.0001512032, -0.0001014327, -9.829295E-06, 0.9999999, -0.02435326, -0.003332783, -0.0103111, -0.109847, 1.008347, 0.01302557, -0.005309241, -0.2999426, 0.3127723, 0.9824162
699, -0.2149722, -0.3275967, 1.028533, 0.02424472, -0.004574478, -0.02968948, 0.9992547, -0.0001891598, -5.118572E-05, -2.881646E-05, 0.9999999, -0.02313156, 0.001553995, -0.0103111, -0.109847, 1.008347, 0.01302557, -0.005309241, -0.2999426, 0.3127723, 0.9824162
707, -0.2149789, -0.3276023, 1.028526, 0.02426182, -0.004596196, -0.02968363, 0.9992543, -0.000168062, -4.471E-05, -2.421741E-05, 1, -0.02557495, -0.002111089, -0.009089405, -0.1078646, 1.009716, 0.009078478, 0.002927455, -0.3021731, 0.318208, 0.977994
716, -0.2150002, -0.3276262, 1.02852, 0.0242711, -0.004582571, -0.02971565, 0.9992533, -0.0001638581, -5.498691E-05, -6.718509E-05, 0.9999999, -0.04145698, -0.01921481, -0.009089405, -0.107875, 1.006825, 0.01182355, -0.002600689, -0.2990942, 0.3164027, 0.9893733
724, -0.215018, -0.3276299, 1.028502, 0.02426742, -0.004583589, -0.02966982, 0.9992547, -0.0001933475, -5.709869E-05, -5.002477E-05, 1, -0.02801834, -0.004554478, -0.01519788, -0.1049039, 1.01016, 0.0100624, -0.001683237, -0.3010374, 0.3173102, 0.9774323
732, -0.2150248, -0.3276109, 1.028505, 0.02428138, -0.004577314, -0.02970837, 0.9992532, -0.0001539986, -6.718817E-05, -5.352934E-05, 0.9999999, -0.03046173, -0.004554478, -0.01519788, -0.1061546, 1.005613, 0.01479442, -0.001616002, -0.299135, 0.3127626, 0.9947663
740, -0.2150147, -0.3276099, 1.028517, 0.02429695, -0.004589272, -0.02968601, 0.9992535, -0.0001539986, -6.718817E-05, -5.352934E-05, 0.9999999, -0.03046173, -0.004554478, -0.01519788, -0.1061546, 1.005613, 0.01479442, -0.001606478, -0.3048569, 0.3136734, 0.9770389
749, -0.2150006, -0.3276168, 1.028507, 0.0242925, -0.004585054, -0.02971848, 0.9992526, -0.0001003586, -9.611517E-05, -5.225197E-05, 0.9999999, -0.02435326, -0.02287989, -0.009089405, -0.1039152, 1.01037, 0.009078739, -0.001606478, -0.3048569, 0.3136734, 0.9770389
